"","state","year","Methadone","Buprenorphine","prescribing_rate","unemployment_rate","percent_low_income_unisured_children","poverty_rate","governor_is_democrat_1_yes","federal_minimum_wage","state_minimum_wage","food_insecure_percent","log_gsp","tanf_caseload_per_receipt_percent","snap_caseload_per_receipt_percent","medicaid_beneficiaries_percent","wic_participation_percent","nslp_total_participation_percent","state_house_that_is_democrat_percent","state_senate_that_is_democrat_percent","totalgrm","totalpop","kgPer100000","pdmp","marijuana","nal","gsl","medicaid","pillmill","prescription_opioid_overdose_deaths","trend"
"California.6","California",2011,4.16429715261662,0.225252697092094,55.9,11.7,7.8,16.9,1,7.40306427636527,8.16889851185134,19.0734,14.5523929972869,40.8175206434505,43.9105304139963,24.2655059674482,3.89008667737541,8.70476252037332,66,62.5,84789.21,37641817.8759183,0.225252697092094,0,1,1,0,0,0,4,5
"California.7","California",2012,4.1133901887525,0.254049990634604,56.4,10.4,6.7,15.9,1,7.25,8,16.48582,14.5784155840106,41.3252995663169,44.8824881439589,25.0473177001662,3.86920819827489,8.75920724284217,65,62.5,96439.35,37960776.8373065,0.254049990634604,0,1,1,0,0,0,3.3,6
"California.8","California",2013,3.92145300813302,0.280852299916162,54.4,8.9,5.1,14.9,1,7.12430657158813,7.86130380313173,15.72165,14.6147273217761,41.5983856032406,45.8248355100524,27.0912904752127,3.72748645159927,8.55356877162486,69,70.2702702702703,107512.56,38280818.7905507,0.280852299916162,0,1,1,1,0,0,3.6,7
"California.9","California",2014,3.95072881822965,0.297681713556847,52.7,7.5,3.6,15.8,1,7.00176840525888,8.69185043411447,13.69295,14.6532704943475,41.4129819266454,46.4239519922826,19.9170886813568,3.47733780404978,8.39619426370049,69,71.7948717948718,114979.96,38625133.7464311,0.297681713556847,0,1,1,1,1,0,3.5,8
"California.10","California",2015,3.92818201463864,0.323572607180899,47.7,6.2,2,13.9,1,6.87589493329054,8.53559371029171,13.74365,14.7078810710568,34.5198328524547,47.4664529246869,24.5922793663263,3.23160335041026,8.35833883912808,65,65,126041.68,38953136.7003308,0.323572607180899,0,1,1,1,1,0,3.4,9
"California.11","California",2016,3.57336107182988,0.350900464421362,44.8,5.5,1.8,13.9,1,6.7279376077978,9.27991394179007,12.93771,14.7373815877704,34.7177778549716,48.2382889382177,32.2465618295146,2.99331059321579,8.28665802361309,64.5569620253165,65,137584.99,39209121.6598641,0.350900464421362,0,1,1,1,1,0,3.4,10
"California.12","California",2017,3.52489283391629,0.387234471359136,39.5,4.8,1.6,12.4,1,6.60604173086676,9.11178169774726,10.8001775741577,14.7776937884757,34.8967531615346,48.3396424084633,29.2614298939265,2.73225223010152,8.13362333832355,68.75,67.5,152567.84,39399343.6236473,0.387234471359136,0,1,1,1,1,0,3.7,11
"Colorado.1","Colorado",2006,2.99092252206756,0.036760334564658,62.2,4.3,9.6,9.7,0,5.74624535865163,5.74624535865163,12.27022,12.4557038209704,38.6938033216549,42.6620522306422,8.55022950273736,1.82549318143734,7.37105551769407,60,51.4285714285714,1717.33,4671693.06356387,0.036760334564658,0,1,0,0,0,0,4.1,0
"Colorado.2","Colorado",2007,3.00483338332299,0.0755240411258433,65.9,3.7,8.6,9.8,1,5.61512494416222,7.46866133349732,12.49472,12.4914018342729,39.8656499636892,42.6395270917097,8.43158055133905,1.89559746437662,7.59281895339339,62,57.1428571428571,3589.16,4752341.03802721,0.0755240411258433,0,1,0,0,0,0,5.4,1
"Colorado.3","Colorado",2008,2.97118109051546,0.135882037811895,67.7,4.8,7.3,11,1,6.23513559661295,7.48216271593553,16.74243,12.5100348914965,41.0466523884905,43.2545377629649,8.68434453436079,2.02060236454774,7.7048016966172,62,57.1428571428571,6572,4836548.01313607,0.135882037811895,0,1,0,0,0,0,4.9,2
"Colorado.4","Colorado",2009,3.02192254331474,0.186156113129819,69.8,7.3,6.8,12.3,1,6.86430484975189,7.62933424522043,13.46348,12.4748265351234,40.7477374571654,43.3634890840778,9.73578067634113,2.17067110199821,7.86107369481688,58,60,9154.05,4917404.99202209,0.186156113129819,0,1,0,0,0,0,5.4,3
"Colorado.5","Colorado",2010,2.98547795528189,0.2246007122952,72,8.7,6,12.2,1,7.52583541444309,7.51545495180248,15.32703,12.4892677999055,39.231109749038,43.5626756021439,10.8098364305758,2.17189943295246,7.9270954135826,58,60,11212.2,4992058.96785556,0.2246007122952,0,1,0,0,0,0,4.4,4
"Colorado.6","Colorado",2011,2.98088046299642,0.26043463835796,73,8.4,7.7,13.2,1,7.40306427636527,7.51538663090323,14.16011,12.504352737384,38.9200469544802,44.1541989349,11.8846445342105,2.03401517341605,7.80143031128162,49,57.1428571428571,13189.16,5064287.94693272,0.26043463835796,0,1,0,0,0,0,5.9,5
"Colorado.7","Colorado",2012,2.98934832314991,0.325097765048346,73.5,7.9,4,11.9,1,7.25,7.64,15.79645,12.5191281962916,38.6812696820221,44.8930054977091,12.5178480934394,1.99873606702659,7.51108660483373,49.2307692307692,57.1428571428571,16692.98,5134756.92381876,0.325097765048346,0,1,0,1,0,0,5.6,6
"Colorado.8","Colorado",2013,2.85653837198645,0.385831466978802,71.2,6.9,4.8,10.6,1,7.12430657158813,7.6451179485456,13.68426,12.5544015156184,38.2866690294162,45.5743668790527,13.8319434990435,1.83781364799819,7.11466252410298,57,57.1428571428571,20103.1,5210331.8989025,0.385831466978802,0,1,1,1,0,0,5.5,7
"Colorado.9","Colorado",2014,2.84136177667701,0.423952188346927,69.6,5,3.1,12.3,1,7.00176840525888,7.72608927476842,13.29352,12.5975140482447,37.9798970789678,46.3405315844796,19.5583752895107,1.71766386809441,6.95863639996206,57,51.4285714285714,22424.73,5289447.87086451,0.423952188346927,0,1,1,1,1,0,6.3,8
"Colorado.10","Colorado",2015,2.92073255743905,0.468635031866399,65.1,3.9,2.1,9.9,1,6.87589493329054,7.80532624841119,9.931993,12.6263491408247,37.9355381414088,47.080898181552,22.75116217612,1.6668609277543,6.93161926146333,52.3076923076923,48.5714285714286,25246.54,5387249.83905971,0.468635031866399,0,1,1,1,1,0,5.8,9
"Colorado.11","Colorado",2016,2.8969825519264,0.492051084677239,59.8,3.2,2.1,8.5,1,6.7279376077978,7.71160848562755,8.719942,12.6493049259081,38.0012466237274,47.3699257920074,24.0224923721403,1.5702306072778,6.79987419829638,52.3076923076923,48.5714285714286,26937.07,5474445.81240368,0.492051084677239,0,1,1,1,1,0,5.5,10
"Colorado.12","Colorado",2017,3.11876099042704,0.533797008044185,52.9,2.7,2,7.7,1,6.60604173086676,8.47395697890495,8.98303031921387,12.6914626483047,37.8846406669296,48.314959052536,24.3606649647932,1.50847322188761,6.57487827692979,56.9230769230769,48.5714285714286,29613.29,5547668.78677386,0.533797008044185,0,1,1,1,1,0,6.4,11
"Connecticut.1","Connecticut",2006,9.23400746932277,0.234010620674106,64.7,4.3,1.8,8,0,5.74624535865163,8.2567409036936,9.969765,12.4190695038104,50.1886485165984,53.2403180400213,12.6072791161804,1.4625041933668,8.73894799087978,71,66.6666666666667,8231.23,3517460.00941692,0.234010620674106,0,0,1,0,0,0,2.9,0
"Connecticut.2","Connecticut",2007,9.3812310659106,0.388371175423741,67.5,4.5,2.1,8.9,0,5.61512494416222,8.34091375200795,8.905783,12.4562408814929,50.5540927635196,53.2489344285432,12.6475999852577,1.50839034153892,8.96959971876267,71,66.6666666666667,13698.9,3527270.0104619,0.388371175423741,0,0,1,0,0,0,2.9,1
"Connecticut.3","Connecticut",2008,9.68308473851541,0.620678031388649,68.7,5.7,2.5,8.1,0,6.23513559661295,8.15363885710924,14.60692,12.4509782234711,48.5973933408003,53.4969363261648,13.3156248951159,1.58868269470233,8.9293173272969,71,66.6666666666667,22006.63,3545579.00990379,0.620678031388649,0,0,1,0,0,0,2.7,2
"Connecticut.4","Connecticut",2009,9.31580568717677,0.825598071927552,68.1,7.9,4,8.4,0,6.86430484975189,8.38388378595651,11.78142,12.4245036208583,50.6359011627907,53.9995739159065,14.1393960986656,1.68869340758778,8.50683048239279,76,66.6666666666667,29406.21,3561807.00995877,0.825598071927552,0,0,1,0,0,0,2.5,3
"Connecticut.5","Connecticut",2010,9.61887525686854,0.981051511244278,68.6,9.1,2.7,8.3,0,7.52583541444309,8.5638816785042,13.577,12.4182667358002,50.1787115334321,53.698997809941,17.1960241549821,1.62325681052441,8.48219954258954,75,66.6666666666667,35113.06,3579125.01000745,0.981051511244278,0,0,1,0,0,0,2.8,4
"Connecticut.6","Connecticut",2011,9.32739224620359,1.10096897074125,69.1,8.8,2.3,10.1,1,7.40306427636527,8.42417659034669,13.89484,12.3928185349906,50.7786720942425,54.3397143211761,18.0755588327796,1.56224972205655,8.40014295945772,65,61.1111111111111,39503.02,3588023.00971331,1.10096897074125,0,0,1,1,0,0,2.3,5
"Connecticut.7","Connecticut",2012,9.77342860549651,1.23694946963812,69.3,8.3,2,10.3,1,7.25,8.25,16.48793,12.4041075977436,51.0898865186861,54.4820644795937,19.5531649701506,1.57460287777432,8.25646315709213,65.5629139072848,61.1111111111111,44460.85,3594395.00895759,1.23694946963812,0,1,1,1,0,0,2,6
"Connecticut.8","Connecticut",2013,9.99273665995933,1.29537944244162,67.4,7.8,1.7,11.3,1,7.12430657158813,8.10696954697959,13.62521,12.3982792214823,50.8019191226868,54.8226490203247,20.4858377479173,1.50807987561326,7.79094515741272,66,61.1111111111111,46567.79,3594915.00901278,1.29537944244162,0,1,1,1,0,0,6,7
"Connecticut.9","Connecticut",2014,10.969155271482,1.3564039851439,66,6.6,1.8,8.6,1,7.00176840525888,8.40212208631065,13.98822,12.3889757302831,50.191509919751,55.4046319879423,18.0996405325304,1.46215521361359,7.8433303539984,65,61.1111111111111,48759.78,3594783.00963759,1.3564039851439,0,1,1,1,1,0,7.4,8
