Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
172,Karl-Anthony Towns\townska01,19-347,C-F,2015-10-28,MIN,@,LAL,W,1,32,6,10,.600,6,9,.667,0,1,.000,2,2,1.000,2,10,12,1,0,0,3,4,14,9.9
173,Al Horford\horfoal01,21-152,C-F,2007-11-02,ATL,,DAL,W,1,23,3,4,.750,3,4,.750,0,0,,3,4,.750,1,9,10,1,0,1,0,5,9,9.8
174,Eduardo Najera\najered01,24-112,F,2000-10-31,DAL,,MIL,W,1,23,4,7,.571,4,7,.571,0,0,,2,4,.500,3,1,4,1,2,0,0,3,10,9.8
175,Kevin Ollie\ollieke01,24-308,G,1997-10-31,DAL,@,VAN,W,0,27,3,5,.600,3,5,.600,0,0,,5,6,.833,0,4,4,3,1,0,2,2,11,9.8
176,Kristaps Porzingis\porzikr01,20-087,F-C,2015-10-28,NYK,@,MIL,W,1,24,3,11,.273,2,9,.222,1,2,.500,9,12,.750,2,3,5,1,1,1,2,3,16,9.8
177,Sean Rooks\rooksse01,23-059,C,1992-11-07,DAL,,UTA,L,1,37,7,11,.636,7,11,.636,0,0,,6,10,.600,2,2,4,0,0,1,4,6,20,9.8
178,Dion Waiters\waitedi01,20-325,G,2012-10-30,CLE,,WAS,W,1,28,6,14,.429,4,9,.444,2,5,.400,3,4,.750,0,2,2,0,3,0,3,0,17,9.8
179,LaMarcus Aldridge\aldrila01,21-116,F-C,2006-11-12,POR,,DAL,L,0,19,5,9,.556,5,9,.556,0,0,,0,0,,6,2,8,0,0,0,0,2,10,9.7
180,Alan Anderson\anderal01,23-027,G-F,2005-11-12,CHA,@,MIA,L,0,19,2,6,.333,2,6,.333,0,0,,4,4,1.000,1,1,2,4,1,1,0,1,8,9.7
181,Maurice Harkless\harklma01,19-180,F-G,2012-11-07,ORL,@,MIN,L,0,22,2,6,.333,2,5,.400,0,1,.000,3,4,.750,2,3,5,2,3,2,0,4,7,9.7
182,Sam Perkins\perkisa01,23-135,F-C,1984-10-27,DAL,,HOU,L,1,32,4,8,.500,4,8,.500,0,0,,4,4,1.000,2,6,8,3,0,0,2,4,12,9.7
183,Chris Childs\childch01,27-037,G,1994-12-27,NJN,,NYK,L,0,15,1,3,.333,0,0,,1,3,.333,3,3,1.000,1,2,3,6,4,0,3,3,6,9.6
184,Cuttino Mobley\moblecu01,23-158,G,1999-02-06,HOU,@,GSW,W,0,31,4,7,.571,1,4,.250,3,3,1.000,2,2,1.000,0,1,1,2,0,0,1,2,13,9.6
185,Eric Montross\montrer01,23-042,C,1994-11-04,BOS,,NYK,L,0,27,3,3,1.000,3,3,1.000,0,0,,3,4,.750,3,6,9,0,1,0,1,5,9,9.6
186,Michael Smith\smithmi02,22-221,F,1994-11-04,SAC,,PHO,W,0,28,6,11,.545,6,11,.545,0,0,,2,4,.500,3,6,9,2,2,0,4,4,14,9.6
187,Dale Ellis\ellisda01,23-084,G-F,1983-10-29,DAL,,PHO,W,0,15,3,5,.600,3,5,.600,0,0,,5,7,.714,1,1,2,0,2,0,1,1,11,9.5
188,Stephen Jackson\jacksst02,22-209,F-G,2000-10-31,NJN,,CLE,L,1,23,6,10,.600,4,7,.571,2,3,.667,1,2,.500,1,2,3,1,2,1,4,3,15,9.5
189,Damon Stoudamire\stoudda01,22-061,G,1995-11-03,TOR,,NJN,W,1,38,4,14,.286,4,11,.364,0,3,.000,2,2,1.000,0,3,3,10,3,0,2,3,10,9.5
190,Kornel David\davidko01,27-106,F,1999-02-05,CHI,@,UTA,L,0,12,5,8,.625,5,8,.625,0,0,,1,1,1.000,3,1,4,0,1,0,1,1,11,9.4
191,Nene Hilario\hilarne01,20-047,F-C,2002-10-30,DEN,@,MIN,L,0,28,3,6,.500,3,5,.600,0,1,.000,4,6,.667,4,7,11,4,0,1,4,3,10,9.4
192,Demetrius Jackson\jacksde01,22-060,G,2016-11-06,BOS,,DEN,L,0,11,2,3,.667,1,2,.500,1,1,1.000,3,4,.750,2,1,3,2,0,0,0,0,8,9.4
193,Dan Majerle\majerda01,23-056,G-F,1988-11-04,PHO,@,POR,L,1,23,2,9,.222,2,9,.222,0,0,,8,10,.800,3,1,4,1,1,0,0,1,12,9.4
194,Michael Olowokandi\olowomi01,23-308,C,1999-02-05,LAC,,PHO,L,0,22,5,9,.556,5,9,.556,0,0,,4,5,.800,3,3,6,0,0,1,2,4,14,9.4
195,Brian Shaw\shawbr01,22-227,G,1988-11-04,BOS,,NYK,W,0,27,3,7,.429,3,7,.429,0,0,,1,2,.500,1,5,6,8,0,1,2,0,7,9.4
196,Jaylen Brown\brownja02,20-002,F,2016-10-26,BOS,,BRK,W,0,19,3,4,.750,3,4,.750,0,0,,3,4,.750,0,2,2,1,1,2,1,1,9,9.3
197,Landry Fields\fieldla01,22-122,F,2010-10-27,NYK,@,TOR,W,1,30,4,8,.500,1,2,.500,3,6,.500,0,0,,2,2,4,0,0,1,0,1,11,9.3
198,Marc Gasol\gasolma01,23-274,C,2008-10-29,MEM,@,HOU,L,1,36,5,12,.417,5,12,.417,0,0,,2,3,.667,5,7,12,1,0,2,2,4,12,9.3
199,Devin Harris\harride01,21-249,G,2004-11-02,DAL,,SAC,W,1,30,2,7,.286,0,2,.000,2,5,.400,2,2,1.000,1,0,1,7,2,0,1,3,8,9.3
200,Alex Poythress\poythal01,23-208,F,2017-04-02,PHI,@,TOR,L,0,24,4,8,.500,4,5,.800,0,3,.000,3,3,1.000,1,2,3,1,0,1,0,1,11,9.3
201,Mike Wilks\wilksmi01,23-234,G,2002-12-27,ATL,,SAS,W,1,33,2,5,.400,1,3,.333,1,2,.500,2,2,1.000,1,1,2,4,2,0,0,2,7,9.3
202,Metta World Peace\artesro01,19-355,F,1999-11-03,CHI,,NYK,L,0,16,5,11,.455,3,8,.375,2,3,.667,2,6,.333,3,1,4,1,1,1,1,3,14,9.3
203,Jarvis Hayes\hayesja01,22-081,F,2003-10-29,WAS,@,CHI,W,1,32,6,11,.545,5,7,.714,1,4,.250,0,0,,1,2,3,1,1,1,1,3,13,9.2
204,Greg Sutton\suttogr01,23-333,G,1991-11-01,SAS,,DAL,W,0,18,4,9,.444,3,5,.600,1,4,.250,3,3,1.000,0,0,0,5,0,0,0,4,12,9.2
205,Dragan Bender\bendedr01,18-344,F,2016-10-26,PHO,,SAC,L,0,12,4,5,.800,2,2,1.000,2,3,.667,0,0,,1,1,2,0,0,0,0,0,10,9.1
206,Wesley Johnson\johnswe01,23-108,F-G,2010-10-27,MIN,,SAC,L,0,18,5,10,.500,5,8,.625,0,2,.000,3,4,.750,3,1,4,1,1,0,1,4,13,9.1
207,Kevin Lynch\lynchke01,22-347,G-F,1991-12-06,CHH,@,CHI,L,0,21,6,8,.750,6,7,.857,0,1,.000,0,0,,0,1,1,2,3,0,4,1,12,9.1
208,Melvin Turpin\turpime01,23-303,C,1984-10-26,CLE,@,PHI,L,1,39,6,16,.375,6,16,.375,0,0,,1,1,1.000,5,5,10,2,0,1,1,3,13,9.1
209,Tony Delk\delkto01,22-280,G,1996-11-03,CHH,@,NYK,L,0,15,5,9,.556,1,3,.333,4,6,.667,0,0,,1,2,3,0,0,0,2,0,14,9.0
210,George Hill\hillge01,22-184,G,2008-11-04,SAS,,DAL,L,0,16,3,7,.429,2,5,.400,1,2,.500,4,4,1.000,0,0,0,1,1,0,0,0,11,9.0
211,Ervin Johnson\johnser02,25-320,C,1993-11-06,SEA,,LAL,W,0,13,4,5,.800,4,5,.800,0,0,,0,0,,3,3,6,0,0,1,0,2,8,9.0
212,Jeff Webster\webstje01,24-257,F,1995-11-03,WSB,@,PHI,L,0,16,5,8,.625,3,4,.750,2,4,.500,0,0,,0,1,1,1,0,0,0,1,12,9.0
213,Ronnie Brewer\brewero02,21-226,G-F,2006-11-01,UTA,,HOU,W,0,17,3,5,.600,3,5,.600,0,0,,3,4,.750,1,1,2,0,2,0,0,1,9,8.9
214,Derrick Brown\brownde04,22-050,F,2009-10-28,CHA,@,BOS,L,0,21,4,9,.444,4,8,.500,0,1,.000,1,2,.500,2,2,4,0,2,2,0,1,9,8.9
215,Josh Childress\childjo01,21-136,G-F,2004-11-03,ATL,@,PHO,L,0,18,3,6,.500,3,6,.500,0,0,,4,5,.800,2,2,4,0,1,1,1,1,10,8.9
216,Jeremy Evans\evansje01,23-003,F,2010-10-27,UTA,@,DEN,L,0,11,4,5,.800,4,5,.800,0,0,,3,4,.750,0,2,2,0,0,0,0,1,11,8.9
217,Patrick Ewing\ewingpa01,23-082,C-F,1985-10-26,NYK,,PHI,L,1,44,8,21,.381,8,21,.381,0,0,,2,4,.500,2,4,6,1,2,3,3,3,18,8.9
218,Richard Jefferson\jefferi01,21-131,F,2001-10-30,NJN,,IND,W,0,23,5,9,.556,5,9,.556,0,0,,2,3,.667,3,0,3,3,0,0,1,4,12,8.9
219,Gary Payton\paytoga01,22-103,G,1990-11-03,SEA,,HOU,W,1,31,4,11,.364,4,10,.400,0,1,.000,2,2,1.000,3,3,6,6,2,0,3,3,10,8.9
220,Jamie Waller\walleja01,22-351,G,1987-11-06,NJN,,CLE,L,0,20,4,9,.444,4,8,.500,0,1,.000,2,4,.500,3,1,4,1,3,1,2,1,10,8.9
221,Rick Carlisle\carliri01,25-004,G,1984-10-31,BOS,,NJN,W,0,20,4,5,.800,4,5,.800,0,0,,0,0,,0,0,0,7,0,0,1,3,8,8.8
222,Reggie Miller\millere01,22-074,G-F,1987-11-06,IND,@,PHI,L,0,26,4,6,.667,3,4,.750,1,2,.500,1,1,1.000,1,0,1,2,3,1,4,1,10,8.8
223,Ricky Rubio\rubiori01,21-066,G,2011-12-26,MIN,,OKC,L,0,26,2,3,.667,2,2,1.000,0,1,.000,2,2,1.000,0,5,5,6,0,0,0,4,6,8.8
224,Shawne Williams\willish03,20-298,F,2006-12-11,IND,@,CHI,L,0,27,6,9,.667,5,6,.833,1,3,.333,0,1,.000,0,1,1,2,1,2,2,5,13,8.8
225,OG Anunoby\anunoog01,20-094,F,2017-10-19,TOR,,CHI,W,0,17,3,6,.500,2,3,.667,1,3,.333,2,2,1.000,2,1,3,2,0,0,0,1,9,8.7
226,Antonio Davis\davisan01,25-005,F-C,1993-11-05,IND,@,ATL,L,0,19,4,5,.800,4,5,.800,0,0,,3,3,1.000,2,4,6,0,0,0,1,5,11,8.7
227,Joel Embiid\embiijo01,22-224,C-F,2016-10-26,PHI,,OKC,L,1,22,6,16,.375,5,13,.385,1,3,.333,7,8,.875,0,7,7,0,0,2,4,4,20,8.7
228,Michael Finley\finlemi01,22-242,G-F,1995-11-03,PHO,@,LAC,L,0,23,4,9,.444,2,3,.667,2,6,.333,4,4,1.000,0,2,2,2,0,0,1,4,14,8.7
229,Ryan Lorthridge\lorthry01,22-170,G,1995-01-13,GSW,@,LAL,L,0,23,3,7,.429,3,7,.429,0,0,,2,2,1.000,3,2,5,3,1,0,1,1,8,8.7
230,Leon Powe\powele01,22-295,F,2006-11-13,BOS,,ORL,L,0,25,3,8,.375,3,8,.375,0,0,,4,7,.571,2,5,7,0,0,2,0,0,10,8.7
231,Predrag Savovic\savovpr01,26-183,G,2002-11-20,DEN,,UTA,L,0,23,4,9,.444,3,5,.600,1,4,.250,2,2,1.000,0,0,0,4,1,0,1,1,11,8.7
232,Kenny Walker\walkeke01,22-074,F,1986-10-31,NYK,@,NJN,L,1,26,6,12,.500,6,12,.500,0,0,,2,2,1.000,2,3,5,0,0,0,0,4,14,8.7
233,Chris Bosh\boshch01,19-219,F-C,2003-10-29,TOR,,NJN,W,0,24,5,8,.625,5,8,.625,0,0,,1,1,1.000,2,2,4,0,0,2,1,3,11,8.6
