Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
511,Andre Brown\brownan01,25-238,F,2007-01-05,SEA,,NYK,L,0,8,4,8,.500,4,8,.500,0,0,,0,0,,3,2,5,0,0,0,2,0,8,4.7
512,Jarron Collins\collija03,22-356,F-C,2001-11-23,UTA,,LAC,W,0,11,1,1,1.000,1,1,1.000,0,0,,3,6,.500,1,2,3,1,0,0,0,2,5,4.7
513,Andrew Goudelock\goudean01,23-018,G,2011-12-25,LAL,,CHI,L,0,13,2,3,.667,0,0,,2,3,.667,0,0,,1,1,2,0,0,0,1,0,6,4.7
514,Jerome Jordan\jordaje01,25-090,C,2011-12-28,NYK,@,GSW,L,0,6,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,0,4,4.7
515,Christian Laettner\laettch01,23-081,F-C,1992-11-06,MIN,@,BOS,L,1,30,4,11,.364,4,11,.364,0,0,,0,0,,2,5,7,1,2,0,2,2,8,4.7
516,Boban Marjanovic\marjabo01,27-076,C,2015-10-30,SAS,,BRK,W,0,5,2,5,.400,2,5,.400,0,0,,2,2,1.000,3,2,5,1,0,0,2,0,6,4.7
517,Anthony Mason\masonan01,23-046,F,1990-01-29,NJN,@,DAL,L,0,4,2,3,.667,2,3,.667,0,0,,1,1,1.000,0,1,1,1,0,0,0,0,5,4.7
518,Emmanuel Mudiay\mudiaem01,19-237,G,2015-10-28,DEN,@,HOU,W,1,38,6,13,.462,3,8,.375,3,5,.600,2,4,.500,0,5,5,9,0,0,11,4,17,4.7
519,Samardo Samuels\samuesa01,21-293,F,2010-10-29,CLE,@,TOR,L,0,7,3,5,.600,3,5,.600,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,7,4.7
520,Mirza Teletovic\teletmi01,27-048,F,2012-11-05,BRK,,MIN,L,0,8,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,0,0,0,1,0,0,0,5,4.7
521,Daniel Theis\theisda01,25-197,C,2017-10-18,BOS,,MIL,L,0,5,2,3,.667,2,3,.667,0,0,,2,2,1.000,2,0,2,0,0,0,1,1,6,4.7
522,Carl Thomas\thomaca01,22-030,G,1991-11-02,SAC,@,GSW,L,0,31,5,12,.417,4,10,.400,1,2,.500,1,2,.500,0,0,0,1,1,0,1,3,12,4.7
523,Chris Washburn\washbch01,21-171,C,1986-10-31,GSW,@,PHO,L,1,19,3,4,.750,3,4,.750,0,0,,1,4,.250,3,2,5,0,0,0,1,3,7,4.7
524,Blake Ahearn\ahearbl01,23-299,G,2008-03-21,MIA,,WAS,L,0,7,1,4,.250,0,1,.000,1,3,.333,2,2,1.000,0,1,1,3,0,0,0,1,5,4.6
525,Dwayne Bacon\bacondw01,22-049,G,2017-10-18,CHO,@,DET,L,1,20,3,6,.500,1,2,.500,2,4,.500,0,0,,0,2,2,2,0,0,2,1,8,4.6
526,Bruno Caboclo\cabocbr01,19-061,F,2014-11-21,TOR,,MIL,W,0,12,3,6,.500,1,3,.333,2,3,.667,0,0,,0,1,1,0,0,1,1,1,8,4.6
527,Todd Fuller\fulleto02,22-099,C,1996-11-01,GSW,,LAC,L,1,28,4,11,.364,4,11,.364,0,0,,0,0,,4,1,5,2,1,0,2,2,8,4.6
528,Yi Jianlian\jianlyi01,20-004,F,2007-10-31,MIL,@,ORL,L,1,25,4,5,.800,4,5,.800,0,0,,1,4,.250,2,1,3,0,1,2,3,6,9,4.6
529,Viktor Khryapa\khryavi01,22-182,F,2005-02-01,POR,@,LAL,L,0,12,1,1,1.000,0,0,,1,1,1.000,0,0,,1,1,2,1,1,0,0,2,3,4.6
530,Rodney McGruder\mcgruro01,25-089,G,2016-10-26,MIA,@,ORL,W,0,24,1,3,.333,1,2,.500,0,1,.000,4,5,.800,1,2,3,0,2,0,1,4,6,4.6
531,Alonzo Mourning\mournal01,22-279,C,1992-11-13,CHH,@,IND,L,1,19,4,10,.400,4,10,.400,0,0,,4,5,.800,1,2,3,0,0,1,2,4,12,4.6
532,J.R. Reid\reidjr01,21-217,F,1989-11-03,CHH,,WSB,L,1,26,2,9,.222,2,9,.222,0,0,,4,4,1.000,1,6,7,3,1,1,3,3,8,4.6
533,Jeremy Richardson\richaje01,22-354,G-F,2007-01-31,ATL,,GSW,W,0,8,2,3,.667,1,2,.500,1,1,1.000,0,0,,1,0,1,0,1,0,0,2,5,4.6
534,Yuta Tabuse\tabusyu01,24-029,G,2004-11-03,PHO,,ATL,W,0,10,1,3,.333,0,2,.000,1,1,1.000,4,4,1.000,0,0,0,1,0,0,1,1,7,4.6
535,Mike Taylor\taylomi01,22-282,G,2008-10-29,LAC,,LAL,L,0,8,0,0,,0,0,,0,0,,3,4,.750,0,1,1,3,0,0,0,1,3,4.6
536,Bernard Thompson\thompbe01,22-058,F-G,1984-10-27,POR,@,KCK,W,0,10,2,2,1.000,2,2,1.000,0,0,,0,2,.000,0,1,1,1,1,0,0,0,4,4.6
537,Mark Wade\wadema01,22-167,G,1988-03-30,GSW,@,PHO,L,0,5,1,1,1.000,1,1,1.000,0,0,,2,4,.500,0,0,0,1,1,0,0,0,4,4.6
538,Jordan Bell\belljo01,22-283,F,2017-10-17,GSW,,HOU,L,0,12,4,5,.800,4,5,.800,0,0,,0,0,,0,1,1,1,0,0,1,4,8,4.5
539,Elmer Bennett\benneel01,24-348,G,1995-01-27,CLE,,POR,L,0,5,1,1,1.000,1,1,1.000,0,0,,3,4,.750,0,1,1,1,1,0,1,2,5,4.5
540,LeRon Ellis\ellisle02,22-192,F-C,1991-11-06,LAC,,PHO,W,0,5,1,1,1.000,1,1,1.000,0,0,,2,6,.333,1,0,1,0,1,1,0,0,4,4.5
541,Kyrylo Fesenko\fesenky01,20-341,C,2007-11-30,UTA,,LAL,W,0,17,3,5,.600,3,5,.600,0,0,,0,0,,4,3,7,1,0,0,2,4,6,4.5
542,Tom Hammonds\hammoto01,22-221,F,1989-11-03,WSB,@,CHH,W,0,20,2,8,.250,2,8,.250,0,0,,2,3,.667,5,5,10,0,0,1,0,5,6,4.5
543,Eddie Jones\jonesed02,23-015,G-F,1994-11-04,LAL,@,DET,W,1,28,3,6,.500,3,6,.500,0,0,,2,2,1.000,0,6,6,0,0,1,1,5,8,4.5
544,Enes Kanter\kanteen01,19-221,C,2011-12-27,UTA,@,LAL,L,0,21,1,7,.143,1,7,.143,0,0,,3,4,.750,3,8,11,0,0,1,0,2,5,4.5
545,Matt Maloney\malonma01,24-331,G,1996-11-01,HOU,,SAC,W,1,32,3,8,.375,2,3,.667,1,5,.200,1,2,.500,1,1,2,1,1,0,1,1,8,4.5
546,Doc Rivers\riverdo01,22-015,G,1983-10-28,ATL,@,NJN,L,0,19,3,8,.375,3,8,.375,0,0,,4,4,1.000,1,0,1,4,1,0,4,4,10,4.5
547,Chris Robinson\robinch01,22-242,G,1996-11-30,VAN,@,PHI,L,0,21,2,5,.400,0,2,.000,2,3,.667,3,4,.750,2,3,5,1,2,0,4,6,9,4.5
548,Ashraf Amaya\amayaas01,23-349,F,1995-11-07,VAN,@,DAL,L,0,15,0,0,,0,0,,0,0,,2,4,.500,1,4,5,1,1,0,0,1,2,4.4
549,Kyle Anderson\anderky01,21-047,F-G,2014-11-06,SAS,@,HOU,L,0,31,1,8,.125,1,6,.167,0,2,.000,2,3,.667,0,8,8,4,2,0,0,3,4,4.4
550,Patrick Beverley\beverpa01,24-187,G,2013-01-15,HOU,,LAC,L,0,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,4.4
551,Aaron Brooks\brookaa01,22-307,G,2007-11-17,HOU,,PHO,L,0,3,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4
552,Lorenzo Brown\brownlo01,23-086,G,2013-11-20,PHI,,TOR,L,0,1,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4
553,Myron Brown\brownmy01,22-014,G,1991-11-17,MIN,,SEA,L,0,11,2,2,1.000,2,2,1.000,0,0,,0,0,,0,2,2,2,0,0,1,0,4,4.4
554,Dante Cunningham\cunnida01,22-200,F,2009-11-08,POR,,MIN,W,0,6,3,4,.750,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,0,0,6,4.4
555,Dante Exum\exumda01,19-108,G,2014-10-29,UTA,,HOU,L,0,10,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,1,0,5,4.4
556,Danny Fortson\fortsda01,21-218,F,1997-10-31,DEN,,SAS,L,0,17,3,4,.750,3,4,.750,0,0,,1,2,.500,1,3,4,1,0,1,2,4,7,4.4
557,Anthony Grundy\grundan01,26-348,G,2006-03-29,ATL,,IND,W,0,15,2,3,.667,1,2,.500,1,1,1.000,1,2,.500,0,3,3,0,1,0,1,2,6,4.4
558,Robert Horry\horryro01,22-073,F,1992-11-06,HOU,,SEA,L,1,35,2,4,.500,2,4,.500,0,0,,2,2,1.000,2,4,6,1,0,1,2,4,6,4.4
559,Ralph Jackson\jacksra01,22-012,G,1984-11-07,IND,@,PHI,L,0,12,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,4,2,0,1,1,2,4.4
560,Grant Long\longgr01,22-238,F,1988-11-05,MIA,,LAC,L,0,23,2,5,.400,2,5,.400,0,0,,2,4,.500,3,2,5,1,0,1,1,3,6,4.4
561,Mike Miller\millemi01,20-255,F-G,2000-10-31,ORL,,WAS,W,0,22,2,4,.500,1,2,.500,1,2,.500,0,1,.000,1,1,2,0,3,0,1,3,5,4.4
562,Dwayne Morton\mortodw01,23-126,F,1994-12-12,GSW,@,PHO,L,0,4,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,4,4.4
563,Gerald Paddio\paddige01,25-195,F-G,1990-11-02,CLE,@,BOS,L,0,3,3,4,.750,3,3,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,6,4.4
564,Mike Peplowski\peplomi01,23-021,C,1993-11-05,SAC,,DEN,W,0,5,1,1,1.000,1,1,1.000,0,0,,0,0,,1,1,2,2,0,1,0,1,2,4.4
565,Jarnell Stokes\stokeja01,20-314,F-C,2014-11-17,MEM,,HOU,W,0,6,2,2,1.000,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,4,4.4
566,Cliff Alexander\alexacl01,19-364,F,2015-11-15,POR,@,CHO,L,0,17,2,4,.500,2,4,.500,0,0,,0,0,,1,3,4,0,0,1,0,0,4,4.3
567,Greg Anderson\andergr01,23-137,F-C,1987-11-06,SAS,@,HOU,L,0,20,3,8,.375,3,8,.375,0,0,,2,2,1.000,0,2,2,1,0,2,0,5,8,4.3
568,Joel Bolomboy\bolomjo01,22-276,F,2016-10-30,UTA,@,LAC,L,0,4,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,1,1,1,1,0,0,0,3,4.3
569,Mark Bryant\bryanma01,23-193,F-C,1988-11-04,POR,,PHO,W,1,17,2,3,.667,2,3,.667,0,0,,1,2,.500,2,5,7,1,1,0,2,4,5,4.3
570,Jermareo Davidson\davidje01,22-356,F,2007-11-06,CHA,,PHO,L,0,18,3,10,.300,3,10,.300,0,0,,0,0,,5,2,7,0,0,2,1,1,6,4.3
571,Taj Gibson\gibsota01,24-127,F,2009-10-29,CHI,,SAS,W,0,16,1,6,.167,1,6,.167,0,0,,4,5,.800,3,3,6,1,0,0,0,3,6,4.3
572,Stanley Johnson\johnsst04,19-151,F,2015-10-27,DET,@,ATL,W,0,24,3,10,.300,2,7,.286,1,3,.333,0,0,,3,1,4,3,0,0,1,1,7,4.3
573,Luc Mbah a Moute\mbahalu01,22-049,F,2008-10-28,MIL,@,CHI,L,0,26,3,7,.429,3,7,.429,0,0,,0,0,,2,0,2,1,2,1,2,2,6,4.3
574,Billy Owens\owensbi01,22-188,F-G,1991-11-05,GSW,@,CHI,W,0,18,3,4,.750,3,4,.750,0,0,,1,5,.200,1,3,4,0,0,3,2,3,7,4.3
575,Eldridge Recasner\recasel01,27-080,G,1995-03-04,DEN,@,LAC,W,0,1,0,0,,0,0,,0,0,,4,4,1.000,0,1,1,0,0,0,0,0,4,4.3
576,Marreese Speights\speigma01,21-088,C-F,2008-10-31,PHI,,NYK,W,0,6,3,4,.750,3,4,.750,0,0,,0,0,,1,2,3,0,0,0,1,1,6,4.3
577,Tyson Wheeler\wheelty01,23-123,G,1999-02-08,DEN,@,HOU,L,0,3,1,1,1.000,0,0,,1,1,1.000,1,2,.500,0,0,0,2,0,0,0,1,4,4.3
578,Justise Winslow\winslju01,19-216,F,2015-10-28,MIA,,CHO,W,0,26,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,7,7,2,0,0,2,4,5,4.3
579,Julian Wright\wrighju01,20-166,F,2007-11-02,NOH,,POR,W,0,11,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,1,2,3,1,0,0,1,1,4,4.3
580,Ricky Davis\davisri01,19-135,G,1999-02-05,CHH,,PHI,L,0,16,2,5,.400,2,5,.400,0,0,,2,4,.500,2,2,4,1,1,0,2,0,6,4.2
581,Andre Iguodala\iguodan01,20-280,G-F,2004-11-03,PHI,@,BOS,W,1,20,3,5,.600,2,4,.500,1,1,1.000,1,1,1.000,0,0,0,1,1,0,2,3,8,4.2
582,Armon Johnson\johnsar02,21-245,G,2010-10-26,POR,,PHO,W,0,9,3,5,.600,3,5,.600,0,0,,0,0,,0,2,2,3,0,0,1,3,6,4.2
583,Chris Singleton\singlch01,22-035,F,2011-12-26,WAS,,NJN,L,0,22,1,3,.333,0,1,.000,1,2,.500,0,0,,0,2,2,0,2,1,0,1,3,4.2
584,Wally Szczerbiak\szczewa02,22-245,F,1999-11-05,MIN,@,SAC,L,1,33,3,8,.375,3,6,.500,0,2,.000,1,2,.500,1,4,5,1,2,0,1,4,7,4.2
585,Mo Williams\willima01,20-317,G,2003-11-01,UTA,@,DAL,L,0,25,3,11,.273,2,8,.250,1,3,.333,0,0,,0,1,1,6,0,0,0,2,7,4.2
586,Nate Wolters\woltena01,22-168,G,2013-10-30,MIL,@,NYK,L,0,30,3,12,.250,2,8,.250,1,4,.250,2,2,1.000,1,0,1,4,1,1,2,2,9,4.2
587,Wilson Chandler\chandwi01,20-187,F,2007-11-13,NYK,@,PHO,L,0,18,4,7,.571,4,6,.667,0,1,.000,0,0,,1,1,2,0,1,0,1,4,8,4.1
588,Tony Dawson\dawsoto01,23-195,F,1991-03-08,SAC,,CLE,W,0,6,2,2,1.000,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1
589,Yogi Ferrell\ferreyo01,23-184,G,2016-11-09,BRK,@,NYK,L,0,14,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,3,1,0,3,0,5,4.1
590,Diante Garrett\garredi02,24-002,G,2012-11-05,PHO,@,MIA,L,0,5,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,2,1,0,0,0,2,4.1
591,Popeye Jones\jonespo01,23-141,F,1993-11-05,DAL,@,UTA,L,1,15,2,4,.500,2,3,.667,0,1,.000,0,0,,3,5,8,1,0,0,1,3,4,4.1
592,Rusty LaRue\larueru01,23-345,G,1997-11-20,CHI,@,PHO,L,0,14,3,5,.600,2,4,.500,1,1,1.000,0,0,,1,0,1,1,1,0,1,5,7,4.1
593,Rich Manning\manniri01,25-218,C,1996-01-27,VAN,@,WSB,L,0,3,2,2,1.000,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1
594,Roshown McLeod\mcleoro01,23-086,F,1999-02-11,ATL,,CHH,W,0,13,2,6,.333,2,5,.400,0,1,.000,3,4,.750,0,3,3,0,0,0,0,0,7,4.1
595,Gabe Pruitt\pruitga01,21-204,G,2007-11-09,BOS,,ATL,W,0,3,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,4,4.1
596,Tim Quarterman\quartti01,22-013,G,2016-11-09,POR,@,LAC,L,0,6,2,2,1.000,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1
597,Chris Smith\smithch03,22-173,G,1992-11-06,MIN,@,BOS,L,0,15,0,5,.000,0,3,.000,0,2,.000,4,4,1.000,1,1,2,2,2,0,0,2,4,4.1
598,Ben Wallace\wallabe01,22-052,F-C,1996-11-01,WSB,@,ORL,W,0,19,0,3,.000,0,3,.000,0,0,,0,0,,4,6,10,0,3,0,1,1,0,4.1
599,Tyler Zeller\zellety01,22-287,F-C,2012-10-30,CLE,,WAS,W,0,15,2,4,.500,2,4,.500,0,0,,1,2,.500,0,2,2,0,1,1,0,2,5,4.1
600,Cory Alexander\alexaco01,22-135,G,1995-11-04,SAS,@,DEN,W,0,11,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,0,0,3,0,0,0,2,4,4.0
601,James Augustine\augusja01,22-340,F,2007-02-02,ORL,,NJN,W,0,5,1,1,1.000,1,1,1.000,0,0,,0,0,,1,2,3,2,0,0,0,1,2,4.0
602,Ron Baker\bakerro01,23-209,G,2016-10-25,NYK,@,CLE,L,0,7,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.0
603,Anthony Brown\brownan02,23-020,F-G,2015-10-30,LAL,@,SAC,L,0,4,1,2,.500,0,0,,1,2,.500,2,2,1.000,0,0,0,0,0,0,0,0,5,4.0
604,Semaj Christon\chrisse01,23-360,G,2016-10-26,OKC,@,PHI,W,0,15,2,5,.400,2,4,.500,0,1,.000,0,0,,0,1,1,4,0,0,0,1,4,4.0
605,Pat Connaughton\connapa01,22-297,G,2015-10-30,POR,@,PHO,L,0,3,1,2,.500,0,1,.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,5,4.0
606,Evan Eschmeyer\eschmev01,24-219,C,2000-01-04,NJN,@,IND,L,0,3,2,2,1.000,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,4.0
607,Jordan Farmar\farmajo01,19-335,G,2006-10-31,LAL,,PHO,W,0,14,3,3,1.000,3,3,1.000,0,0,,0,0,,0,2,2,1,0,0,2,1,6,4.0
608,Pierre Jackson\jackspi01,25-120,G,2016-12-27,DAL,,HOU,L,0,11,2,5,.400,1,3,.333,1,2,.500,2,2,1.000,0,1,1,2,0,0,2,0,7,4.0
609,Kawhi Leonard\leonaka01,20-180,F,2011-12-26,SAS,,MEM,W,0,14,2,9,.222,1,4,.250,1,5,.200,1,4,.250,4,2,6,1,2,0,1,1,6,4.0
610,Juan Carlos Navarro\navarju01,27-140,G,2007-10-31,MEM,,SAS,L,0,17,3,6,.500,0,2,.000,3,4,.750,0,0,,0,0,0,2,1,0,4,1,9,4.0
611,Marcus Brown\brownma01,22-270,G,1996-12-29,POR,,SAS,W,0,5,2,4,.500,0,2,.000,2,2,1.000,0,0,,0,0,0,0,0,1,0,2,6,3.9
612,Demetrius Calip\calipde01,21-348,G,1991-11-01,LAL,@,HOU,L,0,15,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,2,2,6,0,0,0,3,2,3.9
613,Elden Campbell\campbel01,22-103,C,1990-11-03,LAL,@,SAS,L,0,19,1,3,.333,1,3,.333,0,0,,1,2,.500,0,4,4,1,0,3,1,0,3,3.9
614,Earl Clark\clarkea01,21-284,F,2009-10-28,PHO,@,LAC,W,0,20,3,9,.333,3,9,.333,0,0,,0,0,,2,3,5,0,1,1,1,0,6,3.9
615,Chris Crawford\crawfch01,22-185,F,1997-11-14,ATL,,SAC,W,0,6,2,5,.400,2,5,.400,0,0,,2,2,1.000,1,1,2,0,1,0,1,1,6,3.9
616,Sarunas Jasikevicius\jasiksa01,29-242,G,2005-11-02,IND,@,ORL,W,0,18,2,5,.400,1,1,1.000,1,4,.250,0,0,,0,2,2,2,2,0,2,1,5,3.9
617,Kerry Kittles\kittlke01,22-142,G,1996-11-01,NJN,,CLE,L,0,23,2,5,.400,1,1,1.000,1,4,.250,0,0,,1,0,1,1,1,0,0,2,5,3.9
618,Eric Leckner\leckner01,22-161,C-F,1988-11-04,UTA,,SEA,L,0,11,2,2,1.000,2,2,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,2,5,3.9
619,Jamaal Magloire\magloja01,22-163,C,2000-10-31,CHH,@,ATL,W,0,4,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,4,3.9
620,T.J. McConnell\mccontj01,23-217,G,2015-10-28,PHI,@,BOS,L,0,28,2,5,.400,2,4,.500,0,1,.000,0,0,,1,0,1,4,3,1,3,4,4,3.9
621,Antonio McDyess\mcdyean01,21-057,F-C,1995-11-03,DEN,@,LAL,L,1,21,5,9,.556,5,9,.556,0,0,,0,2,.000,0,3,3,0,1,1,2,4,10,3.9
622,Khris Middleton\middlkh01,21-090,F-G,2012-11-10,DET,@,HOU,L,0,9,1,3,.333,1,3,.333,0,0,,2,2,1.000,0,0,0,0,2,0,0,1,4,3.9
623,Donovan Mitchell\mitchdo01,21-041,G,2017-10-18,UTA,,DEN,W,1,26,3,11,.273,3,9,.333,0,2,.000,4,4,1.000,0,1,1,4,0,1,3,1,10,3.9
624,Anthony Morrow\morroan01,23-043,G,2008-11-09,GSW,@,SAC,L,0,12,3,5,.600,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,1,2,7,3.9
625,Desmond Penigar\penigde01,22-219,F,2004-02-20,ORL,,DEN,W,0,18,2,8,.250,2,8,.250,0,0,,0,0,,4,4,8,2,0,1,1,1,4,3.9
626,Clinton Smith\smithcl01,22-285,F,1986-10-31,GSW,@,PHO,L,0,11,4,10,.400,4,9,.444,0,1,.000,0,0,,0,1,1,2,2,0,2,1,8,3.9
627,D.J. Stephens\stephdj01,23-100,G-F,2014-03-29,MIL,,MIA,L,0,12,2,5,.400,2,5,.400,0,0,,1,1,1.000,1,3,4,0,0,0,0,0,5,3.9
628,Rod Strickland\stricro02,22-116,G,1988-11-04,NYK,@,BOS,L,0,18,2,6,.333,2,6,.333,0,0,,1,2,.500,0,2,2,5,1,0,2,1,5,3.9
629,Rasual Butler\butlera01,23-160,F-G,2002-10-30,MIA,,ORL,L,0,31,2,6,.333,2,6,.333,0,0,,0,0,,1,3,4,3,1,1,1,3,4,3.8
630,Gerald Fitch\fitchge01,23-103,G,2005-11-23,MIA,,POR,W,0,3,2,2,1.000,2,2,1.000,0,0,,0,0,,1,0,1,1,0,0,1,0,4,3.8
631,Grant Gondrezick\gondrgr01,23-285,G,1986-10-31,PHO,,GSW,W,0,18,3,9,.333,3,9,.333,0,0,,1,2,.500,1,1,2,3,0,0,0,2,7,3.8
632,James Harden\hardeja01,20-063,G,2009-10-28,OKC,,SAC,W,0,13,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,3,5,3.8
633,Ivan McFarlin\mcfariv01,24-195,F,2006-11-07,PHI,@,IND,L,0,7,2,3,.667,2,3,.667,0,0,,2,3,.667,1,0,1,0,0,0,0,3,6,3.8
634,Troy Murphy\murphtr01,21-182,F-C,2001-10-31,GSW,@,POR,L,0,16,1,5,.200,1,5,.200,0,0,,2,2,1.000,1,3,4,0,2,1,1,1,4,3.8
635,Elfrid Payton\paytoel01,20-248,G,2014-10-28,ORL,@,NOP,L,1,31,2,8,.250,2,8,.250,0,0,,0,0,,3,2,5,7,1,0,2,5,4,3.8
636,Detlef Schrempf\schrede01,22-278,F-C,1985-10-26,DAL,,SEA,W,0,16,2,3,.667,2,3,.667,0,0,,3,4,.750,0,1,1,0,0,0,1,2,7,3.8
637,Dennis Schroder\schrode01,20-045,G,2013-10-30,ATL,@,DAL,L,0,18,2,5,.400,1,3,.333,1,2,.500,0,0,,0,4,4,5,0,0,2,3,5,3.8
638,Kevin Thompson\thompke01,22-284,C-F,1993-11-18,POR,,CHI,W,0,17,2,6,.333,2,6,.333,0,0,,0,0,,3,4,7,1,0,0,0,2,4,3.8
639,Carmelo Anthony\anthoca01,19-153,F,2003-10-29,DEN,,SAS,W,1,29,4,15,.267,4,14,.286,0,1,.000,4,8,.500,3,4,7,3,1,0,3,3,12,3.7
640,Corie Blount\blounco01,24-305,F,1993-11-05,CHI,@,CHH,W,0,8,2,3,.667,2,3,.667,0,0,,1,1,1.000,0,0,0,2,0,0,1,1,5,3.7
641,Rakeem Christmas\chrisra01,24-134,F,2016-04-13,IND,@,MIL,W,0,6,2,2,1.000,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,4,3.7
642,Andrew DeClercq\declean01,22-357,F-C,1996-01-24,GSW,,UTA,L,0,7,1,2,.500,1,2,.500,0,0,,1,1,1.000,1,1,2,1,0,0,0,0,3,3.7
643,Fennis Dembo\dembofe01,22-299,F,1988-11-18,DET,@,PHO,W,0,1,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7
644,Larry Drew\drewla02,24-317,G,2015-01-16,PHI,,NOP,W,0,14,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,3.7
645,Alphonso Ford\fordal01,22-142,G,1994-03-22,SEA,,SAS,W,0,1,2,3,.667,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,0,0,4,3.7
646,Stephen Graham\grahast01,23-183,G,2005-12-11,HOU,@,POR,W,0,1,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7
647,Taurean Green\greenta01,20-339,G,2007-11-02,POR,@,NOH,L,0,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7
648,Dave Hoppen\hoppeda01,23-307,C-F,1988-01-14,MIL,@,WSB,L,0,10,2,2,1.000,2,2,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,1,0,5,3.7
649,Joe Kleine\kleinjo01,23-294,C,1985-10-25,SAC,,LAC,L,0,10,2,4,.500,2,4,.500,0,0,,2,2,1.000,1,4,5,2,0,0,2,4,6,3.7
650,Ian Lockhart\lockhia01,23-130,F,1990-11-02,PHO,@,UTA,W,0,2,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7
651,Shabazz Napier\napiesh01,23-107,G,2014-10-29,MIA,,WAS,W,0,15,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,2,3,2,1,0,1,0,2,3.7
652,Olumide Oyedeji\oyedeol01,19-225,C,2000-12-22,SEA,,WAS,W,0,2,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,1,1,0,0,2,3.7
653,Chasson Randle\randlch01,23-344,G,2017-01-14,PHI,@,WAS,L,0,6,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,3.7
654,Jamel Thomas\thomaja01,26-264,F,1999-12-14,BOS,@,CLE,L,0,8,2,4,.500,2,4,.500,0,0,,0,0,,0,1,1,2,0,0,0,0,4,3.7
655,David West\westda01,23-061,F,2003-10-29,NOH,,ATL,W,0,5,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,2,0,2,0,0,0,0,1,3,3.7
656,Howard Wright\wrighho02,22-317,F,1990-11-02,ATL,,ORL,W,0,3,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,1,1,2,0,0,0,0,0,3,3.7
657,A.J. Wynder\wyndeaj01,26-203,G,1991-04-02,BOS,@,NJN,W,0,1,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7
658,Troy Bell\belltr01,23-033,G,2003-12-13,MEM,,NJN,W,0,5,1,2,.500,1,2,.500,0,0,,3,3,1.000,0,1,1,1,0,0,1,1,5,3.6
